pol_tlumaczenie,hiszp_bezokol,yo,tu,el/ella,nosotros/as,vosotros/as,ellos/ellas,w_bazie
wychodzic,salir,salgo,sales,sale,salemos,saleis,salen,0
czekac/miec nadzieje,esperar,espero,esperas,espera,esperamos,esperais,esperan,0
pamietac,recordar,recuerdo,recuerdas,recuerda,recordamos,recordais,recuerdan,0
dziac sie/pedzac (czas)/przechodzic,pasar,paso,pasas,pasa,pasamos,pasais,pasan,0
odpoczywac,descansar,descanso,descansas,descansa,descansamos,descansais,descansan,0
zapominac,olvidar,olvido,olvidas,olvida,olvidamos,olvidais,olvidan,0
cieszyc sie,alegrarse,me alegro,te alegres,se alegre,no alegremos,os alegreis,se alegren,0
wybierac,elegir,elijo,eliges,elige,elegimos,elegis,eliegen,0
decydowac,decidir,decido,decides,decide,decidimos,decidis,deciden,0
martwic sie,preocuparse,me preocupo,te preocupas,se preocupa,nos preocupamos,os preocupais,se preocupan,0
brac,coger,cojo,coges,coge,cogemos,cogeis,cogen,0
klocic sie,discutir,discuto,discutes,discute,discutimos,discutis,discuten,0
tesknic,echar de menos,echo de menos,echas de menos,echa de menos,echamos de menos,echais de menos,echan de menos,0
obiecywac,prometer,prometo,prometes,promete,prometemos,prometeis,prometen,0
pozwalac,permitir,permito,permites,permite,permitimos,permitis,permiten,0
budzic sie,despertarse,me despierto,te despiertas,se despierta,nos despertamos,os despertais,se despiertan,0
przytulac,abrazar,abrazo,abrazas,abraza,abrazamos,abrazais,abrazan,0
zostawiac,dejar,dejo,dejas,deja,dejamos,dejais,dejan,0
konczyc,acabar,acabo,acabas,acaba,acabamos,acabais,acaban,0
pomagac,ayudar,ayudo,ayudas,ayuda,ayudamos,ayudais,ayudan,0
pokazywac,mostrar,muestro,muestras,muestra,mostramos,mostrais,muestran,0
czytac,leer,leo,lees,lee,leemos,leeis,leen,0
przychodzic,venir,vengo,vienes,viene,venimos,venis,vienen,0
wygrac/zarabiac pieniadze,ganar,gano,ganas,gana,ganamos,ganais,ganan,0
rozwiazywac (problem),solucionar,soluciono,solucionas,soluciona,solucionamos,solucionais,solucionan,0
planowac,planear,planeo,planeas,planea,planeamos,planeais,planean,0
realizowac,realizar,realizo,realizas,realiza,realizamos,realizais,realizan,0
szukac,buscar,busco,buscas,busca,buscamos,buscais,buscan,0
zgadzac sie/przyjmowac cos/akceptowac,aceptar,acepto,aceptas,acepta,aceptamos,aceptais,aceptan,0
narzekac,quejarse,me quejo,te quejas,se queja,nos quejamos,os quejais,se quejan,0
wytrzymywac,aguantar,aguanto,aguantas,aguanta,aguantamos,aguantais,aguantan,0
odkrywac,descubrir,descubro,descubres,descubre,descubrimos,descubris,descubren,0
spac,dormir,duermo,duermes,duerme,dormimos,dormis,duermen,0
